payoff,network,strategy,barC,chi_bar,smax_bar,absorbed,absorb_state,t_absorb,n_steps_executed,cluster_samples_json,cluster_sizes_window_json,strategy_short
beta_1.00,Grid_10x10,ImitationStrategy,0.12791666666666665,,,True,allD,24,24,"[{""t"": 1, ""sizes"": [15, 4, 3, 4, 1, 19, 5, 1, 1, 1, 1, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.18999999999999997,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [16, 3, 4, 2, 27, 4, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.17461538461538464,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [2, 4, 38, 5, 5, 2]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.14692307692307696,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [1, 18, 1, 1, 1, 1, 1, 11, 1, 7, 1, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.10642857142857143,,,True,allD,28,28,"[{""t"": 1, ""sizes"": [9, 15, 2, 1, 4, 5, 2, 1, 1, 2, 1, 2, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.14307692307692307,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [4, 7, 10, 2, 10, 13, 3]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.15615384615384617,,,True,allD,13,13,"[{""t"": 1, ""sizes"": [5, 2, 1, 2, 2, 14, 1, 7, 2, 2, 2, 1, 1, 2, 1, 1]}]",[],Imitate
beta_1.00,Grid_10x10,ImitationStrategy,0.09875,,,True,allD,16,16,"[{""t"": 1, ""sizes"": [4, 15, 1, 1, 1, 1, 4, 5, 1, 11, 2]}]",[],Imitate
beta_1.00,ER_k4,ImitationStrategy,0.01,0.0,0.01,False,,1000,1000,"[{""t"": 1, ""sizes"": [43, 2, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
beta_1.00,ER_k4,ImitationStrategy,0.01,0.0,0.01,False,,1000,1000,"[{""t"": 1, ""sizes"": [9, 2, 1, 1, 24, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1]}, {""t"": 51, ""sizes"": [1]}, {""t"": 101, ""sizes"": [1]}, {""t"": 151, ""sizes"": [1]}, {""t"": 201, ""sizes"": [1]}, {""t"": 251, ""sizes"": [1]}, {""t"": 301, ""sizes"": [1]}, {""t"": 351, ""sizes"": [1]}, {""t"": 401, ""sizes"": [1]}, {""t"": 451, ""sizes"": [1]}, {""t"": 501, ""sizes"": [1]}, {""t"": 551, ""sizes"": [1]}, {""t"": 601, ""sizes"": [1]}, {""t"": 651, ""sizes"": [1]}, {""t"": 701, ""sizes"": [1]}, {""t"": 751, ""sizes"": [1]}, {""t"": 801, ""sizes"": [1]}, {""t"": 851, ""sizes"": [1]}, {""t"": 901, ""sizes"": [1]}, {""t"": 951, ""sizes"": [1]}]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",Imitate
